scenario,trial,month,monthly_pl_kc
konzervativni,32,5,330.28
konzervativni,32,6,-194.32
konzervativni,32,7,-564.2
konzervativni,32,8,-626.16
konzervativni,32,9,-260.72
konzervativni,32,10,-606.05
konzervativni,32,11,-562.96
konzervativni,32,12,-398.27
konzervativni,33,1,-726.02
konzervativni,33,2,-753.86
konzervativni,33,3,-549.3
konzervativni,33,4,-800.0
konzervativni,33,5,-572.23
konzervativni,33,6,-557.74
konzervativni,33,7,-616.41
konzervativni,33,8,-477.15
konzervativni,33,9,-113.85
konzervativni,33,10,-341.0
konzervativni,33,11,-541.5
konzervativni,33,12,-560.7
konzervativni,34,1,-800.0
konzervativni,34,2,-742.49
konzervativni,34,3,-754.3
konzervativni,34,4,-342.3
konzervativni,34,5,-722.22
konzervativni,34,6,-685.6
konzervativni,34,7,-765.0
konzervativni,34,8,-698.07
konzervativni,34,9,23.15
konzervativni,34,10,-592.34
konzervativni,34,11,-525.23
konzervativni,34,12,-663.03
konzervativni,35,1,-693.91
konzervativni,35,2,-800.0
konzervativni,35,3,-800.0
konzervativni,35,4,-674.14
konzervativni,35,5,-378.64
konzervativni,35,6,-179.95
konzervativni,35,7,-530.04
konzervativni,35,8,-672.81
konzervativni,35,9,-808.0
konzervativni,35,10,-725.8
konzervativni,35,11,-621.64
konzervativni,35,12,-471.87
konzervativni,36,1,-800.0
konzervativni,36,2,-800.0
konzervativni,36,3,-757.29
konzervativni,36,4,-390.84
konzervativni,36,5,-577.45
konzervativni,36,6,-582.51
konzervativni,36,7,-386.03
konzervativni,36,8,-609.76
konzervativni,36,9,-575.7
konzervativni,36,10,-569.94
konzervativni,36,11,-226.12
konzervativni,36,12,-655.96
konzervativni,37,1,-800.0
konzervativni,37,2,-800.0
konzervativni,37,3,-806.61
konzervativni,37,4,-374.24
konzervativni,37,5,-507.14
konzervativni,37,6,-624.48
konzervativni,37,7,-625.64
konzervativni,37,8,-540.07
konzervativni,37,9,-708.55
konzervativni,37,10,-286.6
konzervativni,37,11,-607.6
konzervativni,37,12,-652.89
konzervativni,38,1,-800.0
konzervativni,38,2,-800.0
konzervativni,38,3,-588.62
konzervativni,38,4,-460.72
konzervativni,38,5,-429.61
konzervativni,38,6,-321.3
konzervativni,38,7,-471.79
konzervativni,38,8,-536.58
konzervativni,38,9,-303.92
konzervativni,38,10,-491.45
konzervativni,38,11,-196.6
konzervativni,38,12,-670.0
konzervativni,39,1,-659.62
konzervativni,39,2,-593.36
konzervativni,39,3,-605.79
konzervativni,39,4,-557.4
konzervativni,39,5,-508.37
konzervativni,39,6,-772.51
konzervativni,39,7,-752.75
konzervativni,39,8,-578.27
konzervativni,39,9,-490.0
konzervativni,39,10,-635.13
konzervativni,39,11,-660.86
konzervativni,39,12,-584.11
konzervativni,40,1,-767.58
konzervativni,40,2,-717.71
konzervativni,40,3,-579.87
konzervativni,40,4,-770.76
konzervativni,40,5,-800.0
konzervativni,40,6,-508.44
konzervativni,40,7,-459.64
konzervativni,40,8,-360.69
konzervativni,40,9,-310.68
konzervativni,40,10,-620.43
konzervativni,40,11,-390.19
konzervativni,40,12,-261.94
konzervativni,41,1,-785.0
konzervativni,41,2,-800.0
konzervativni,41,3,-586.09
konzervativni,41,4,-385.59
konzervativni,41,5,-756.73
konzervativni,41,6,-288.38
konzervativni,41,7,-574.38
konzervativni,41,8,-459.69
konzervativni,41,9,227.08
konzervativni,41,10,-506.19
konzervativni,41,11,-349.13
konzervativni,41,12,-552.28
konzervativni,42,1,-800.0
