kod,nazev,rank,tier,doporuceni,hh_celkem,obyvatelstvo_celkem,vek_15_64,driving_dist_km,net_per_order_kc,conversion_rate,expected_orders_month,monthly_contribution_kc,nightlife_count,nightlife_per_1k,byt_domy_byty,byt_podil,cache_points,s_trh,s_pl,s_byty,s_nightlife,skore_total,vyrazeno
598674,Sedliště,14,A,ponechat – prioritní,517,1587.0,1036.0,6.0,84.0,0.0025,1.3,109,2,1.26,8,0.015,4,0.1356420490352009,7.0,0.07385524372230427,1.4015572858731924,1.69,False
568791,Soběšovice,15,C,vyřadit,298,954.0,603.0,15.6,24.0,0.0032,1.0,24,7,7.34,7,0.023,2,0.06992167571947304,2.0,0.11324470704086655,8.164627363737486,1.68,False
507181,Pržno,16,B,ponechat – pasivní,306,1082.0,750.0,9.1,84.0,0.002,0.6,50,1,0.92,25,0.082,1,0.07232241995018455,7.0,0.4037419990152634,1.0233592880978866,1.67,False
598691,Hukvaldy,17,B,podmíněně,817,2105.0,1293.0,16.4,24.0,0.0032,2.6,62,14,6.65,42,0.051,8,0.22566995768688294,2.0,0.25110782865583453,7.397107897664071,1.66,False
512192,Horní Domaslavice,18,B,ponechat – pasivní,314,978.0,633.0,8.4,84.0,0.0025,0.8,67,1,1.02,4,0.013,3,0.07472316418089608,7.0,0.06400787789266371,1.1345939933259175,1.62,False
552691,Žabeň,19,B,ponechat – pasivní,314,899.0,564.0,7.0,84.0,0.0025,0.8,67,1,1.11,0,0.0,2,0.07472316418089608,7.0,0.0,1.234705228031146,1.62,False
598046,Bruzovice,20,B,ponechat – pasivní,407,983.0,631.0,8.0,84.0,0.0013000000000000002,0.5,42,0,0.0,29,0.071,7,0.1026318158629175,7.0,0.34958148695224023,0.0,1.52,False
552682,Vyšní Lhoty,21,B,ponechat – pasivní,490,841.0,527.0,11.7,24.0,0.0032,1.6,38,5,5.95,23,0.047,6,0.12753953725654954,2.0,0.23141309699655338,6.618464961067853,1.5,False
552526,Nižní Lhoty,22,C,podmíněně,163,290.0,182.0,9.1,84.0,0.0013000000000000002,0.2,17,0,0.0,0,0.0,2,0.029409116826216126,7.0,0.0,0.0,1.41,False
552500,Pazderna,23,C,podmíněně,139,322.0,194.0,6.5,84.0,0.0013000000000000002,0.2,17,0,0.0,0,0.0,2,0.022206884134081565,7.0,0.0,0.0,1.41,False
556971,Ropice,24,B,podmíněně,648,1618.0,1018.0,22.3,79.0,0.0013000000000000002,0.8,63,0,0.0,0,0.0,4,0.17495423581310207,6.58,0.0,0.0,1.39,False
598879,Vratimov,25,A,ponechat – aktivní marketing,2881,7261.0,4685.0,12.9,24.0,0.0025,7.2,173,9,1.24,1151,0.4,7,0.8450619692104553,2.0,1.9694731659281142,1.3793103448275863,1.38,False
568716,Skotnice,26,B,podmíněně,313,826.0,504.0,20.2,79.0,0.0013000000000000002,0.4,32,0,0.0,0,0.0,3,0.07442307115205714,6.58,0.0,0.0,1.35,False
569755,Trnávka,27,C,vyřadit,223,726.0,459.0,20.5,79.0,0.0013000000000000002,0.3,24,0,0.0,0,0.0,2,0.04741469855655253,6.58,0.0,0.0,1.34,False
552615,Vělopolí,28,C,vyřadit,105,294.0,188.0,21.0,79.0,0.0013000000000000002,0.1,8,0,0.0,0,0.0,0,0.012003721153557603,6.58,0.0,0.0,1.32,False
507237,Komorní Lhotka,29,B,podmíněně,445,1521.0,926.0,19.2,24.0,0.0032,1.4,34,6,3.94,62,0.139,9,0.11403535095879723,2.0,0.6843919251600197,4.382647385984427,1.25,False
598038,Brušperk,30,A,ponechat – aktivní marketing,1535,4111.0,2535.0,18.4,24.0,0.0032,4.9,118,13,3.16,190,0.124,6,0.4411367523932419,2.0,0.6105366814377153,3.5150166852057843,1.25,False
598569,Paskov,31,B,ponechat – pasivní,1426,3679.0,2404.0,12.3,24.0,0.0025,3.6,86,7,1.9,412,0.289,4,0.4084266122497974,2.0,1.4229443623830622,2.1134593993325916,1.19,False
552577,Pstruží,32,B,podmíněně,467,1020.0,659.0,16.5,24.0,0.0032,1.5,36,4,3.92,8,0.017,3,0.12063739759325391,2.0,0.08370260955194485,4.360400444938821,1.13,False
598348,Krmelín,33,B,podmíněně,693,2289.0,1463.0,17.1,24.0,0.0032,2.2,53,8,3.49,26,0.038,2,0.18845842211085437,2.0,0.18709995076317085,3.8820912124582874,1.1,False
568830,Řepiště,34,B,ponechat – pasivní,843,1851.0,1171.0,10.8,24.0,0.0032,2.7,65,6,3.24,41,0.049,4,0.23347237643669538,2.0,0.24126046282619398,3.6040044493882095,1.09,False
598798,Šenov,35,A,ponechat – aktivní marketing,2439,6278.0,4001.0,14.1,24.0,0.0025,6.1,146,11,1.75,194,0.08,7,0.7124208504636438,2.0,0.39389463318562284,1.946607341490545,1.09,False
598399,Lučina,36,B,ponechat – pasivní,560,1477.0,908.0,11.3,24.0,0.0032,1.8,43,5,3.39,20,0.036,3,0.14854604927527534,2.0,0.17725258493353027,3.770856507230256,1.07,False
598364,Lhotka,37,C,vyřadit,184,543.0,357.0,17.3,24.0,0.0032,0.6,14,2,3.68,4,0.022,2,0.03571107043183387,2.0,0.10832102412604626,4.093437152391546,1.05,False
599808,Příbor,38,A,ponechat – aktivní marketing,3423,8222.0,5133.0,19.2,24.0,0.0025,8.6,206,9,1.09,0,0.0,10,1.0077123908411607,2.0,0.0,1.2124582869855396,1.04,False
598551,Palkovice,39,B,ponechat – pasivní,1184,3366.0,2122.0,12.5,24.0,0.0032,3.8,91,9,2.67,5,0.004,10,0.3358040992707739,2.0,0.01969473165928114,2.9699666295884315,1.0,False
568643,Kateřinice,40,C,vyřadit,275,686.0,410.0,17.6,24.0,0.0032,0.9,22,2,2.92,15,0.055,2,0.06301953605617741,2.0,0.27080256031511574,3.2480533926585093,0.97,False
552488,Vojkovice,41,C,vyřadit,267,710.0,467.0,12.4,24.0,0.0032,0.9,22,2,2.82,6,0.022,2,0.060618791825465895,2.0,0.10832102412604626,3.136818687430478,0.92,False
598160,Hnojník,42,B,ponechat – pasivní,551,1439.0,873.0,14.6,24.0,0.0025,1.4,34,2,1.39,126,0.229,3,0.14584521201572487,2.0,1.1275233874938453,1.5461624026696328,0.92,False
549665,Raškovice,43,C,podmíněně,572,1987.0,1151.0,12.5,24.0,0.002,1.1,26,1,0.5,191,0.334,3,0.15214716562134262,2.0,1.6445100935499755,0.5561735261401557,0.88,False
599085,Petřvald,44,B,podmíněně,2815,7460.0,4724.0,19.2,24.0,0.0013000000000000002,3.7,89,0,0.0,317,0.113,6,0.8252558293070852,2.0,0.5563761693746923,0.0,0.88,False
598178,Horní Bludovice,45,B,ponechat – pasivní,1036,2477.0,1648.0,10.5,24.0,0.0025,2.6,62,4,1.61,16,0.015,4,0.2913903310026108,2.0,0.07385524372230427,1.7908787541713016,0.81,False
598321,Kozlovice,46,B,podmíněně,1051,2985.0,1831.0,18.0,24.0,0.0025,2.6,62,3,1.01,109,0.104,10,0.2958917264351949,2.0,0.5120630231413097,1.1234705228031145,0.8,False
598135,Fryčovice,47,B,podmíněně,908,2292.0,1462.0,15.5,24.0,0.0025,2.3,55,3,1.31,55,0.061,8,0.2529784233112265,2.0,0.3003446578040374,1.4571746384872082,0.79,False
598836,Václavovice,48,B,ponechat – pasivní,749,2026.0,1293.0,10.3,24.0,0.0025,1.9,46,3,1.48,11,0.015,3,0.205263631725835,2.0,0.07385524372230427,1.646273637374861,0.75,False
552631,Horní Tošanovice,49,C,vyřadit,182,655.0,457.0,14.1,24.0,0.0025,0.5,12,1,1.53,10,0.055,3,0.035110884374155986,2.0,0.27080256031511574,1.7018909899888766,0.73,False
552542,Dobratice,50,C,podmíněně,370,1304.0,812.0,11.5,24.0,0.0025,0.9,22,2,1.53,6,0.016,2,0.09152837379587672,2.0,0.07877892663712456,1.7018909899888766,0.71,False
598101,Dolní Domaslavice,51,C,podmíněně,412,1393.0,882.0,15.9,24.0,0.0025,1.0,24,2,1.44,0,0.0,2,0.1041322810071122,2.0,0.0,1.6017797552836484,0.69,False
552623,Třanovice,52,C,vyřadit,318,1045.0,657.0,18.3,24.0,0.002,0.6,14,1,0.96,30,0.094,4,0.07592353629625184,2.0,0.46282619399310676,1.067853170189099,0.69,False
507423,Janovice,53,B,ponechat – pasivní,660,1904.0,1188.0,11.1,24.0,0.002,1.3,31,1,0.53,25,0.038,7,0.17855535215916934,2.0,0.18709995076317085,0.5895439377085652,0.61,False
512184,Metylovice,54,C,podmíněně,548,1705.0,1028.0,13.0,24.0,0.002,1.1,26,1,0.59,13,0.024,5,0.14494493292920804,2.0,0.11816838995568685,0.6562847608453837,0.59,False
552607,Dolní Tošanovice,55,C,vyřadit,205,371.0,249.0,12.4,24.0,0.0013000000000000002,0.3,7,0,0.0,15,0.073,2,0.04201302403745161,2.0,0.3594288527818808,0.0,0.49,False
568163,Žermanice,56,C,podmíněně,140,357.0,234.0,11.9,24.0,0.0013000000000000002,0.2,5,0,0.0,6,0.043,2,0.022506977162920504,2.0,0.21171836533727223,0.0,0.45,False
552674,Střítež,57,C,vyřadit,399,996.0,642.0,17.3,24.0,0.0013000000000000002,0.5,12,0,0.0,4,0.01,3,0.10023107163220599,2.0,0.049236829148202856,0.0,0.45,False
552658,Smilovice,58,C,vyřadit,289,852.0,526.0,18.9,24.0,0.0013000000000000002,0.4,10,0,0.0,0,0.0,3,0.06722083845992258,2.0,0.0,0.0,0.43,False
598275,Kaňovice,59,C,podmíněně,142,338.0,215.0,10.9,24.0,0.0013000000000000002,0.2,5,0,0.0,0,0.0,0,0.023107163220598387,2.0,0.0,0.0,0.41,False
